color;category;name;x;y;url;rss
#90278E;PYTHON;Un Electron Libre;692;365;http://nicolas.steinmetz.fr/journal/;http://nicolas.steinmetz.fr/journal/feed/atom
#90278E;PYTHON;Planet Django;730;365;http://www.djangoproject.com/;http://www.djangoproject.com/rss/community/
#90278E;PYTHON;Fetchez le Python;772;365;http://tarekziade.wordpress.com/;http://tarekziade.wordpress.com/feed/
#26A9E0;RUBY;Damien Mathieu;819;365;http://www.dmathieu.com/;http://feeds2.feedburner.com/DMathieuFr
#26A9E0;RUBY;Pablo's Development;883;365;http://mel.melaxis.com/devblog/;http://feeds.feedburner.com/PablosDevelopmentBlog
#26A9E0;RUBY;EggsOnBread;921;365;http://eggsonbread.com/;http://feeds.feedburner.com/EggsOnBread
#26A9E0;RUBY;Lanza on Web;921;331;http://www.lanza.fr/;http://www.lanza.fr/feed/rss2
#26A9E0;RUBY;Shiny happy people coding;921;297;http://blog.shingara.fr/;http://feeds.feedburner.com/ProgDreamShiny
#26A9E0;RUBY;T37;921;263;http://t37.net/;http://feeds.feedburner.com/FredericDeVillamilcom
#26A9E0;RUBY;Alex Payne;921;226;http://al3x.net/;http://feeds2.feedburner.com/al3x
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Internet et Opinion(s) ;27;128;http://internetetopinion.wordpress.com;http://internetetopinion.wordpress.com/feed/
#EC297B;VEILLE/IE/ KM/E-REPUTATION;CaddE-Réputation;54;128;http://caddereputation.over-blog.com/;http://caddereputation.over-blog.com/rss-articles.xml
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Quor 2.0;80;128;http://quor-wom.blogspot.com/;http://quor-wom.blogspot.com/feeds/posts/default?alt=rss
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Vtech;107;128;http://vtech.canalblog.com/;http://vtech.canalblog.com/rss.xml
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Collabtopia;188;128;http://www.collabtopia.com/;http://www.collabtopia.com/feed/
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Activeille;217;128;http://www.activeille.net;http://feeds.feedburner.com/Activeille
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Brainsfeed ;246;128;http://www.brainsfeed.com/;http://www.brainsfeed.com/feeds/index.rss2
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Affordance ;275;128;http://www.affordance.info/mon_weblog/;http://affordance.typepad.com/mon_weblog/rss.xml
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Boulevard de l'info;304;128;http://feeds.feedburner.com/fjb;http://fjb.blogs.com/weblog/
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Brainsfeed.es;333;128;http://blog.brainsfeed.es/;http://blog.brainsfeed.es/index.php?/feeds/index.rss2
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Kamablog;361;128;http://veilledopinion.fr/index.php;http://feeds.feedburner.com/VeilleDopinionOnLine
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Demain la veille;389;128;http://www.demainlaveille.fr;http://feeds.feedburner.com/DemainLaVeille
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Inter Ligere;417;128;http://www.inter-ligere.net/;http://www.inter-ligere.net/rss2.php
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Les infostratèges;445;128;http://www.les-infostrateges.com;http://www.les-infostrateges.com/rss/cat/?num=1
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Michelle Blanc;473;128;http://www.michelleblanc.com;http://feeds.feedburner.com/MichelLeblancMscCommercelectroniqueMarketingInternetConsultantEtConfrencier
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Outils Froids ;501;128;http://www.outilsfroids.net;http://www.outilsfroids.net/index.xml
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Digital Reputation Blog;533;128;http://digitalreputationblog.wordpress.com/feed/;http://digitalreputationblog.wordpress.com/
#EC297B;VEILLE/IE/ KM/E-REPUTATION;VerbalKint ;567;128;http://www.verbalkint.net;http://www.verbalkint.net/xml/syndication.rss
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Vincent Abry;593;128;http://www.vincentabry.com;http://www.vincentabry.com/feed
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Opinion Watch ;621;128;http://www.opinion-watch.com;http://feeds.feedburner.com/opinion-watch/blog
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Actulligence;649;128;http://www.actulligence.com/;http://feeds.feedburner.com/Actulligence
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Blogs et i&e;677;128;http://blogsetie.blogspot.com/;http://blogsetie.blogspot.com/feeds/posts/default?alt=rss
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Vedocci;702;128;http://www.vedocci.fr;http://feeds.feedburner.com/Vedocci
#EC297B;VEILLE/IE/ KM/E-REPUTATION;Palpitt ;731;128;http://www.palpitt.fr/blog/index.php?;http://www.palpitt.fr/blog/index.php?feed/rss2
#753D0A;MOBILE;News mobile;30;682;http://www.news-mobiles.com/;http://feeds.feedburner.com/mobilite
#753D0A;MOBILE;FrAndroid;135;681;http://www.frandroid.com/;http://feeds.feedburner.com/Frandroid
#753D0A;MOBILE;Business mobile;65;682;http://blogs.businessmobile.fr/;http://blogs.businessmobile.fr/index.php/feed/
#753D0A;MOBILE;Celularis;99;682;http://www.celularis.com/;http://www.celularis.com/feed
#EC1C24;SEO/SEM;Seo Blackout;211;682;http://www.seoblackout.com/;http://www.seoblackout.com/feed/
#EC1C24;SEO/SEM;The Black Melvyn;246;682;http://www.theblackmelvyn.com/;http://www.theblackmelvyn.com/feed/
#EC1C24;SEO/SEM;Matt Cutts;280;682;http://www.mattcutts.com/blog/;http://feeds.mattcutts.com/mattcutts/uJBW
#EC1C24;SEO/SEM;Seul maître à bord;317;682;http://www.seulmaitreabord.info/;http://feeds.feedburner.com/Blog-Referencement-Seul-maitre-a-bord
